                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4566,                 1.9706,                 1.4435,                0.63948,                0.19191,                0.24901,                0.11073,                 1.9456,                 2.7254,                 1.7025,                0.00054,                0.00054,                0.00054
                      2,                 1.3177,                  1.233,                 1.3338,                0.52243,                0.29979,                0.33134,                0.19294,                 1.6388,                 2.3435,                 1.5375,              0.0010782,              0.0010782,              0.0010782
                      3,                 1.3439,                 1.1576,                 1.3489,                0.19509,                0.33817,                0.15994,                0.06895,                 2.0412,                 2.4709,                 2.0113,              0.0015943,              0.0015943,              0.0015943
                      4,                 1.3718,                  1.124,                 1.3615,                0.48212,                0.47199,                0.42124,                0.18331,                 1.9765,                 1.9592,                 1.8744,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.3371,                 1.0443,                 1.3351,                0.55279,                0.58748,                0.54982,                0.26431,                 1.8135,                  1.607,                 1.6807,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.3295,                  1.025,                 1.3424,                0.59048,                0.55636,                0.55844,                0.27116,                 1.8173,                 2.0204,                 1.7181,               0.001802,               0.001802,               0.001802
                      7,                 1.3254,                0.98538,                 1.3138,                0.63239,                0.53536,                0.58393,                0.30966,                 1.6854,                 1.6167,                 1.5751,              0.0017624,              0.0017624,              0.0017624
                      8,                  1.306,                0.95939,                 1.3233,                0.59283,                0.56501,                 0.5941,                0.32069,                 1.6784,                 1.5422,                 1.5107,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.2958,                0.94916,                 1.3111,                0.60495,                 0.6121,                0.61975,                0.34298,                 1.6571,                  1.331,                 1.5149,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.2694,                0.92521,                 1.3061,                0.69348,                0.64463,                 0.6856,                0.36563,                 1.6202,                 1.3423,                 1.4732,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.2562,                0.89296,                  1.295,                0.66246,                0.65837,                0.69249,                0.39687,                 1.5551,                 1.1659,                 1.4118,               0.001604,               0.001604,               0.001604
                     12,                 1.2651,                0.90372,                 1.2994,                0.65409,                0.66667,                 0.6835,                0.38152,                 1.5675,                 1.2254,                 1.4501,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.2507,                0.87035,                  1.299,                0.65684,                0.66118,                0.70499,                0.40288,                 1.5712,                 1.1301,                 1.4511,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.2488,                0.86258,                  1.292,                0.68511,                0.63866,                0.68709,                0.35678,                 1.7478,                 1.3898,                 1.5766,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.2231,                0.85763,                 1.2777,                0.70365,                0.68966,                0.72238,                0.40978,                  1.534,                 1.1232,                  1.408,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.2296,                0.84062,                 1.2775,                0.69375,                 0.6601,                0.71758,                0.42246,                 1.5285,                 1.1562,                 1.3971,               0.001406,               0.001406,               0.001406
                     17,                 1.1971,                0.82243,                 1.2684,                 0.7031,                0.69356,                0.72803,                0.41432,                  1.502,                 1.3031,                 1.3775,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.2336,                0.85561,                 1.2724,                0.72118,                0.67635,                0.73554,                0.42022,                 1.4837,                 1.0838,                 1.3482,              0.0013268,              0.0013268,              0.0013268
                     19,                  1.202,                0.83068,                 1.2671,                0.72449,                0.69105,                0.75079,                 0.4372,                 1.4856,                 1.1456,                 1.3742,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.2232,                0.83215,                 1.2638,                0.72403,                 0.6805,                0.74366,                0.43625,                 1.4788,                 1.0562,                 1.3741,              0.0012476,              0.0012476,              0.0012476
                     21,                  1.187,                 0.7986,                 1.2479,                0.71453,                0.65603,                0.71816,                0.43008,                 1.4644,                 1.0945,                 1.3466,               0.001208,               0.001208,               0.001208
                     22,                 1.1993,                0.80158,                 1.2546,                0.71689,                 0.6882,                0.74049,                  0.421,                 1.4943,                 1.0898,                 1.3787,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.1813,                0.78771,                 1.2429,                0.69192,                0.67635,                0.72039,                0.43272,                 1.4643,                 1.0628,                 1.3546,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.1721,                0.79323,                 1.2479,                0.70799,                0.70989,                0.74954,                0.44458,                 1.4905,                0.99781,                 1.3564,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.1656,                 0.7785,                 1.2451,                0.71911,                0.70022,                0.75651,                0.45808,                 1.4567,                0.97213,                 1.3308,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.1771,                0.78131,                 1.2333,                0.69595,                0.73755,                 0.7629,                0.45312,                 1.4577,                 1.0277,                 1.3298,                0.00101,                0.00101,                0.00101
                     27,                 1.1639,                0.77096,                 1.2279,                0.70104,                0.71678,                0.75369,                0.45279,                 1.4463,                 1.0023,                 1.3346,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.1475,                0.74994,                 1.2185,                0.70395,                  0.713,                0.75838,                0.45864,                 1.4328,                0.98127,                 1.3183,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.1328,                0.73569,                 1.2252,                0.69099,                0.73029,                0.75455,                0.44457,                 1.4461,                 1.0287,                 1.3315,              0.0008912,              0.0008912,              0.0008912
                     30,                  1.158,                0.74788,                 1.2283,                0.72176,                0.70712,                0.76376,                0.46342,                 1.4438,                0.99017,                 1.3304,              0.0008516,              0.0008516,              0.0008516
                     31,                  1.113,                0.72353,                 1.2175,                0.71239,                0.73755,                0.77351,                0.46669,                 1.4424,                 0.9698,                 1.3242,               0.000812,               0.000812,               0.000812
                     32,                 1.1278,                0.72385,                 1.2158,                0.72124,                0.70678,                0.76239,                0.45946,                 1.4431,                 1.0013,                 1.3285,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.1499,                0.73213,                 1.2209,                0.70874,                0.69571,                0.75731,                0.45686,                  1.435,                 1.0055,                 1.3083,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.1394,                0.72858,                 1.2087,                0.72713,                0.69751,                 0.7636,                0.47164,                 1.4164,                0.98024,                 1.3037,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.1383,                0.71907,                 1.2078,                0.71386,                0.72891,                0.77523,                 0.4758,                 1.4273,                0.94937,                 1.3129,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.1202,                0.70773,                 1.2011,                0.70817,                0.69895,                0.74197,                 0.4529,                 1.4248,                0.99202,                 1.3197,               0.000614,               0.000614,               0.000614
                     37,                 1.1169,                0.69849,                 1.1931,                0.74084,                0.67315,                0.75106,                0.46075,                 1.4267,                0.98665,                 1.3039,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.1127,                0.69974,                 1.1942,                0.69547,                0.73597,                0.76359,                0.46665,                 1.4283,                 1.0054,                 1.3057,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.1008,                0.69417,                 1.2059,                0.73225,                0.69779,                0.76635,                0.47089,                  1.424,                0.94907,                 1.3075,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.1021,                0.69081,                 1.1895,                0.73399,                 0.6926,                0.76303,                0.47421,                 1.4144,                 0.9464,                 1.3059,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.1378,                0.70295,                 1.2084,                0.74219,                0.69329,                0.76854,                0.47377,                 1.4214,                0.94795,                 1.3142,               0.000416,               0.000416,               0.000416
                     42,                 1.1269,                0.67577,                 1.2104,                0.70594,                 0.7334,                 0.7692,                0.47738,                 1.4024,                0.93864,                 1.2955,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.1047,                0.65873,                 1.2005,                0.71546,                0.72337,                 0.7663,                0.47488,                 1.4048,                0.94145,                 1.3019,              0.0003368,              0.0003368,              0.0003368
                     44,                  1.122,                0.66256,                 1.1917,                0.71366,                0.72199,                0.76987,                0.47454,                 1.4115,                 0.9431,                  1.301,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.1063,                0.64967,                 1.1884,                0.72051,                0.70297,                0.75883,                0.47169,                 1.3981,                0.95056,                 1.2898,              0.0002576,              0.0002576,              0.0002576
                     46,                  1.093,                0.64857,                 1.1827,                0.71793,                0.71127,                 0.7662,                0.47351,                 1.4052,                0.94221,                 1.2942,               0.000218,               0.000218,               0.000218
                     47,                 1.1011,                0.64392,                 1.1739,                0.71094,                0.73133,                0.76985,                0.47368,                 1.4151,                0.94001,                 1.3034,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.0842,                0.62691,                 1.1728,                0.72466,                0.71805,                0.76949,                0.47848,                 1.3978,                0.94123,                   1.29,              0.0001388,              0.0001388,              0.0001388
                     49,                  1.073,                0.62048,                 1.1603,                0.72288,                0.72339,                0.77137,                0.47841,                  1.403,                 0.9423,                 1.2943,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.0823,                0.61922,                 1.1646,                0.75139,                0.68638,                0.76806,                0.47915,                  1.395,                0.94102,                 1.2885,               5.96e-05,               5.96e-05,               5.96e-05
